Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.166.163-192.168.0.26-443-53058-6,192.168.0.26,53058,172.217.166.163,443,6,26/02/2019 07:00:02 PM,149936,7,7,610.0,3587.0,517.0,0.0,87.14285714285715,192.69183391400597,1418.0,0.0,512.4285714285714,676.6791108403002,27991.943229111086,93.37317255362287,11533.538461538461,22155.26319190463,63547.0,4.0,96342.0,16057.0,36218.148202248,89947.0,8.0,146904.0,24484.0,28379.98980972333,63547.0,8.0,0,0,0,0,224,240,46.68658627681143,46.68658627681143,0.0,1418.0,279.8,513.1879633372997,263361.88571428566,0,1,0,0,0,0,0,0,1.0,299.7857142857143,87.14285714285714,512.4285714285714,0,0,0,0,0,0,7,610,7,3587,-1,240,2,0,0,0,0,0,0,0,0,0,No Label
172.217.166.163-192.168.0.26-443-53058-6,172.217.166.163,443,192.168.0.26,53058,6,26/02/2019 07:00:02 PM,6811,3,3,353.0,0.0,284.0,0.0,117.66666666666666,148.12269688786165,0.0,0.0,0.0,0.0,51827.92541477022,880.9279107326383,1362.2,1978.4796435647247,4374.0,5.0,4402.0,2201.0,3080.157138848601,4379.0,23.0,2437.0,1218.5,1704.834449440766,2424.0,13.0,0,0,0,0,96,72,440.46395536631917,440.46395536631917,0.0,284.0,50.42857142857142,106.15689197732625,11269.285714285716,0,0,0,0,1,0,0,0,1.0,58.833333333333336,117.66666666666667,0.0,0,0,0,0,0,0,3,353,3,0,-1,0,2,0,0,0,0,0,0,0,0,0,No Label
172.217.166.163-192.168.0.26-443-53058-6,192.168.0.26,53058,172.217.166.163,443,6,26/02/2019 07:00:02 PM,83395,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.982253132681816,83395.0,0.0,83395.0,83395.0,0,0,0,0,0,83395.0,83395.0,0.0,83395.0,83395.0,0,0,0,0,0,52,0.0,23.982253132681816,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.166.163-192.168.0.26-443-53060-6,192.168.0.26,53060,172.217.166.163,443,6,26/02/2019 07:03:47 PM,432217,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94095789846304,216108.5,271204.4419630696,407879.0,24338.0,0,0,0,0,0,24338.0,24338.0,0.0,24338.0,24338.0,0,0,0,0,32,64,2.3136526328210136,4.627305265642027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,244,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-216.58.203.138-50576-443-6,192.168.0.26,50576,216.58.203.138,443,6,26/02/2019 07:03:45 PM,2480277,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2095423212810503,1240138.5,1730262.7163990156,2463619.0,16658.0,0,0,0,0,0,16658.0,16658.0,0.0,16658.0,16658.0,0,0,0,0,32,64,0.40318077376035016,0.8063615475207003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,247,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-74.125.68.188-35976-5228-6,192.168.0.26,35976,74.125.68.188,5228,6,26/02/2019 07:03:43 PM,4463815,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6720708631518106,2231907.5,2996912.9930334147,4351045.0,112770.0,0,0,0,0,0,112770.0,112770.0,0.0,112770.0,112770.0,0,0,0,0,32,64,0.22402362105060356,0.4480472421012071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,244,0,0,0,0,0,0,0,0,0,0,No Label
151.101.38.109-192.168.0.26-443-45718-6,192.168.0.26,45718,151.101.38.109,443,6,26/02/2019 07:03:43 PM,4685209,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6403129508203369,2342604.5,3132237.6746033337,4557431.0,127778.0,0,0,0,0,0,127778.0,127778.0,0.0,127778.0,127778.0,0,0,0,0,32,64,0.21343765027344563,0.42687530054689127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,60,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41534-443-6,192.168.0.26,41534,104.89.26.121,443,6,26/02/2019 07:03:48 PM,509304,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890391593233119,254652.0,180930.24052932666,382589.0,126715.0,0,0,0,0,0,126715.0,126715.0,0.0,126715.0,126715.0,0,0,0,0,32,64,1.9634638644110394,3.9269277288220787,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,371,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41532-443-6,192.168.0.26,41532,104.89.26.121,443,6,26/02/2019 07:03:48 PM,509305,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890380027684786,254652.5,177221.46546200322,379967.0,129338.0,0,0,0,0,0,129338.0,129338.0,0.0,129338.0,129338.0,0,0,0,0,32,64,1.963460009228262,3.926920018456524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,371,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.26-104.89.26.121-41536-443-6,192.168.0.26,41536,104.89.26.121,443,6,26/02/2019 07:03:48 PM,513365,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.843795350286833,256682.5,183808.8722355371,386655.0,126710.0,0,0,0,0,0,126710.0,126710.0,0.0,126710.0,126710.0,0,0,0,0,32,64,1.9479317834289445,3.895863566857889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,326,0,0,0,0,0,0,0,0,0,0,No Label
